video_id,video_title,video_date,comment_text,comment_date
7WI2jMYK91E,[PART 1] Musyawarah: Hasil Quick Count Pilpres 2024,2024-02-14T13:27:16Z,"Mbak nana ternyata sebagai seorang media masih kurang kritis,, tak bisa lihat tanggal nya   coba lihat. Tanggal masih 13.. kan pemilihan tanggal 14.. wkkkkk mbak nana tak tau atau pura2 tdk tau kalau semua quick account sudah setingan.",2024-02-21T16:24:54Z
7WI2jMYK91E,[PART 1] Musyawarah: Hasil Quick Count Pilpres 2024,2024-02-14T13:27:16Z,"Iya, itu gimana ya, pencoblosan nya aja 14 februari 2024, kok visual quick count nya yg ditampilkan 13 februari 2024 ya ?... 🤔",2024-02-21T15:37:25Z
7WI2jMYK91E,[PART 1] Musyawarah: Hasil Quick Count Pilpres 2024,2024-02-14T13:27:16Z,Itu tanggalnya kok 13 februari ya,2024-02-21T15:36:46Z
7WI2jMYK91E,[PART 1] Musyawarah: Hasil Quick Count Pilpres 2024,2024-02-14T13:27:16Z,Ada yg bisa jelaskan dimenit ke 2:50.00 itu di layar knpa tertulis jam dan tanggal yg salah?,2024-02-21T14:44:45Z
7WI2jMYK91E,[PART 1] Musyawarah: Hasil Quick Count Pilpres 2024,2024-02-14T13:27:16Z,Tanggal tayang dan jam membagongkan...,2024-02-21T14:12:39Z
7WI2jMYK91E,[PART 1] Musyawarah: Hasil Quick Count Pilpres 2024,2024-02-14T13:27:16Z,"Jujur, masih bingung,,, PEMILU tgl 14,,, ini QUICK COUNT tgl 13 sudah keluar hasilnya????",2024-02-21T14:08:28Z
7WI2jMYK91E,[PART 1] Musyawarah: Hasil Quick Count Pilpres 2024,2024-02-14T13:27:16Z,Host 2 cwo samping mbak nana kayak nya bukan pendukung 02 dan pembenci psi😅😅😅😅,2024-02-21T13:50:11Z
7WI2jMYK91E,[PART 1] Musyawarah: Hasil Quick Count Pilpres 2024,2024-02-14T13:27:16Z,Mbak nana\nHari yg ada di layar kok 13 february 2024?,2024-02-21T13:18:41Z
7WI2jMYK91E,[PART 1] Musyawarah: Hasil Quick Count Pilpres 2024,2024-02-14T13:27:16Z,Knp dilayar  tglnya 13 febuari bkn 14 febuari,2024-02-21T03:36:49Z
7WI2jMYK91E,[PART 1] Musyawarah: Hasil Quick Count Pilpres 2024,2024-02-14T13:27:16Z,Knapa tanggal nya 13 Februari 2024 ya? 🤔,2024-02-21T02:52:18Z
