,video_id,video_title,video_date,comment_text,comment_date
17,XiCkE4uRg70,"Pantas Nantangin Publik Pakai Rompi &quot;Mulyono&quot;, Tabiat Buruk Kaesang Pangarep Sempat Diungkap Guru SM",2024-09-26T09:11:44Z,PERUSAK MARTABAT BANGSA!!!!,2024-09-27T07:50:28Z
18,XiCkE4uRg70,"Pantas Nantangin Publik Pakai Rompi &quot;Mulyono&quot;, Tabiat Buruk Kaesang Pangarep Sempat Diungkap Guru SM",2024-09-26T09:11:44Z,"Kalo ketemu, lemparin aja sama telur busuk",2024-09-27T07:28:58Z
19,XiCkE4uRg70,"Pantas Nantangin Publik Pakai Rompi &quot;Mulyono&quot;, Tabiat Buruk Kaesang Pangarep Sempat Diungkap Guru SM",2024-09-26T09:11:44Z,SILHUET BIJI TINGGAL SATU !!!!!!!!!!😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,2024-09-27T06:53:25Z
20,XiCkE4uRg70,"Pantas Nantangin Publik Pakai Rompi &quot;Mulyono&quot;, Tabiat Buruk Kaesang Pangarep Sempat Diungkap Guru SM",2024-09-26T09:11:44Z,Hayooo suuu Kaesang loe berani kagak tuh ditantang netizen trmasuk gue berani kagak loe pake rompi bertuliskan adik sitampan fufufafa,2024-09-27T03:49:30Z
21,XiCkE4uRg70,"Pantas Nantangin Publik Pakai Rompi &quot;Mulyono&quot;, Tabiat Buruk Kaesang Pangarep Sempat Diungkap Guru SM",2024-09-26T09:11:44Z,Kenapa ga di tulis Putra Firaun Jawa?kan lebih nyata.,2024-09-27T03:39:49Z
22,XiCkE4uRg70,"Pantas Nantangin Publik Pakai Rompi &quot;Mulyono&quot;, Tabiat Buruk Kaesang Pangarep Sempat Diungkap Guru SM",2024-09-26T09:11:44Z,Putra mulyono adik fufufafa,2024-09-27T00:26:16Z
23,XiCkE4uRg70,"Pantas Nantangin Publik Pakai Rompi &quot;Mulyono&quot;, Tabiat Buruk Kaesang Pangarep Sempat Diungkap Guru SM",2024-09-26T09:11:44Z,"Nitizen bales dong pakai juga kaos bertuliskan ""gantung mulyono'",2024-09-27T00:09:53Z
24,XiCkE4uRg70,"Pantas Nantangin Publik Pakai Rompi &quot;Mulyono&quot;, Tabiat Buruk Kaesang Pangarep Sempat Diungkap Guru SM",2024-09-26T09:11:44Z,POLITIK KAESANG CERDAS ! BIKIN KAUM PENDENGKI DARAHNYA MENDIDIH SAMPAI UBUN-UBUN !!!,2024-09-26T23:28:32Z
25,XiCkE4uRg70,"Pantas Nantangin Publik Pakai Rompi &quot;Mulyono&quot;, Tabiat Buruk Kaesang Pangarep Sempat Diungkap Guru SM",2024-09-26T09:11:44Z,PUTRA NDESO,2024-09-26T23:09:42Z
26,XiCkE4uRg70,"Pantas Nantangin Publik Pakai Rompi &quot;Mulyono&quot;, Tabiat Buruk Kaesang Pangarep Sempat Diungkap Guru SM",2024-09-26T09:11:44Z,KEkOnyOLan atO ketOLoLAn ?? E😂😂😂,2024-09-26T21:16:48Z
27,XiCkE4uRg70,"Pantas Nantangin Publik Pakai Rompi &quot;Mulyono&quot;, Tabiat Buruk Kaesang Pangarep Sempat Diungkap Guru SM",2024-09-26T09:11:44Z,Yg paling menjijikan itu pendukungnya,2024-09-26T21:07:53Z
28,XiCkE4uRg70,"Pantas Nantangin Publik Pakai Rompi &quot;Mulyono&quot;, Tabiat Buruk Kaesang Pangarep Sempat Diungkap Guru SM",2024-09-26T09:11:44Z,Tengil ndeso,2024-09-26T18:42:16Z
29,XiCkE4uRg70,"Pantas Nantangin Publik Pakai Rompi &quot;Mulyono&quot;, Tabiat Buruk Kaesang Pangarep Sempat Diungkap Guru SM",2024-09-26T09:11:44Z,Nggleleng bocahe,2024-09-26T16:26:24Z
30,XiCkE4uRg70,"Pantas Nantangin Publik Pakai Rompi &quot;Mulyono&quot;, Tabiat Buruk Kaesang Pangarep Sempat Diungkap Guru SM",2024-09-26T09:11:44Z,"Merasa hebat padahal cuma karna punya jabatan, klu ga ada jabatan lo bisa apa? 😂😂",2024-09-26T16:17:40Z
